Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
0.6387197971343994,0.6830864548683167,0.655641496181488,0.6611777544021606
0.3880974054336548,0.6562858819961548,0.8453288674354553,0.6427249908447266
0.33042314648628235,0.6450096964836121,0.870580792427063,0.6408693790435791
0.3004579544067383,0.6509120464324951,0.8820408582687378,0.6203805804252625
0.2811351716518402,0.6977487206459045,0.8880542516708374,0.6006472110748291
0.2558012306690216,0.651806652545929,0.8963173627853394,0.6549472212791443
0.23286497592926025,0.7157369256019592,0.9051938056945801,0.65767502784729
0.21052882075309753,0.8123940229415894,0.9145748615264893,0.6748111248016357
0.18109765648841858,0.7822880744934082,0.9273389577865601,0.7068666815757751
0.15948139131069183,0.6271520853042603,0.9364766478538513,0.7438194155693054
0.14118215441703796,0.5489675998687744,0.9447411894798279,0.7753193974494934
0.12635298073291779,0.5703707933425903,0.9512061476707458,0.7882833480834961
0.11919061839580536,0.5307185649871826,0.9538797736167908,0.8052167296409607
0.11349178850650787,0.5057914853096008,0.9558857679367065,0.818149983882904
0.11799590289592743,0.43533626198768616,0.9540848135948181,0.8356277942657471
0.10620423406362534,0.4071046710014343,0.9590315818786621,0.8511611223220825
0.09415218979120255,0.39937111735343933,0.9644812941551208,0.8549416661262512
0.08762402087450027,0.38154706358909607,0.9672673940658569,0.866819441318512
0.08587055653333664,0.3806850016117096,0.9676188230514526,0.8678721785545349
0.08157181739807129,0.38009530305862427,0.9693821668624878,0.8734166026115417
0.07963057607412338,0.38435789942741394,0.970188319683075,0.8773583173751831
0.07956553250551224,0.39005982875823975,0.9697751998901367,0.8760583400726318
0.07378505170345306,0.39441123604774475,0.9724407196044922,0.8800305724143982
0.07431349903345108,0.41475582122802734,0.9719176292419434,0.881569504737854
0.08193199336528778,0.4075280725955963,0.9679549932479858,0.8821722269058228
0.07228656858205795,0.4222680628299713,0.9724725484848022,0.8808749914169312
0.06589676439762115,0.42242199182510376,0.9755069017410278,0.8833389282226562
0.06505786627531052,0.43594443798065186,0.9757941961288452,0.8817555904388428
0.06201140210032463,0.43947160243988037,0.9773300290107727,0.8821333050727844
0.06252919882535934,0.4497497081756592,0.9768491387367249,0.88248610496521
0.06437643617391586,0.4457036256790161,0.9753819704055786,0.8844416737556458
0.06039116159081459,0.45268920063972473,0.9775220155715942,0.8811888694763184
0.05827881768345833,0.4598395824432373,0.9785519242286682,0.8833222389221191
0.05675458535552025,0.46458470821380615,0.9793117046356201,0.8818167448043823
0.05324624851346016,0.46659621596336365,0.9809596538543701,0.8823166489601135
0.05215056613087654,0.46962130069732666,0.981397807598114,0.882013738155365
0.05380599573254585,0.476831316947937,0.9804548621177673,0.8813750147819519
0.05239598825573921,0.467020720243454,0.980987548828125,0.8839888572692871
0.051075294613838196,0.48322436213493347,0.9814299941062927,0.8826138377189636
0.051657430827617645,0.47660747170448303,0.9812320470809937,0.881600022315979
0.05064569041132927,0.4818548560142517,0.9814251065254211,0.8836389183998108
0.047736044973134995,0.48613661527633667,0.9830524921417236,0.8829500079154968
0.04598235338926315,0.49189436435699463,0.9838801622390747,0.8821610808372498
0.045351214706897736,0.4949229061603546,0.9843041896820068,0.8831332921981812
0.04608310014009476,0.4925866425037384,0.9835759401321411,0.8827138543128967
0.04414014518260956,0.49862125515937805,0.9847023487091064,0.8823888897895813
0.0460413359105587,0.4992908537387848,0.9833177924156189,0.8814249634742737
0.0438576266169548,0.5038667917251587,0.9845412373542786,0.8830944299697876
0.04232637584209442,0.5077193975448608,0.9854936003684998,0.882591724395752
0.04221552610397339,0.5072886943817139,0.9854505062103271,0.8823139071464539
0.040775999426841736,0.514061450958252,0.986164391040802,0.8824973106384277
0.04081868380308151,0.5106561183929443,0.9860352873802185,0.8822777271270752
0.040160056203603745,0.5163700580596924,0.9864474534988403,0.8821722865104675
0.039703331887722015,0.5176599025726318,0.9865051507949829,0.883566677570343
0.03997485339641571,0.5186605453491211,0.9863190054893494,0.8818889260292053
0.03889048099517822,0.5203771591186523,0.9869225025177002,0.8833277821540833
0.03853621706366539,0.5240457057952881,0.986975908279419,0.8822778463363647
0.03856286406517029,0.5289179682731628,0.9868762493133545,0.8809555768966675
0.03930037468671799,0.5275101661682129,0.986342191696167,0.8820666670799255
0.03866875544190407,0.5273149609565735,0.9867520928382874,0.8825861215591431
0.03707227110862732,0.5312177538871765,0.9875215888023376,0.8819500207901001
0.03785945475101471,0.5332626104354858,0.9871410727500916,0.8817110061645508
0.03725755587220192,0.5343717932701111,0.9873707294464111,0.8812389373779297
0.035961367189884186,0.5351207256317139,0.9880608320236206,0.8821138739585876
0.03554216027259827,0.5391758680343628,0.9883300065994263,0.881588876247406
0.03780978545546532,0.5366107225418091,0.9872137308120728,0.8832055926322937
0.04013684764504433,0.5368112325668335,0.9853817820549011,0.8811444640159607
0.03714703023433685,0.5356766581535339,0.9870887398719788,0.8821361660957336
0.03528361767530441,0.5417765378952026,0.9882407784461975,0.8820361495018005
0.03504897281527519,0.5423477292060852,0.9884427785873413,0.8816472291946411
0.0344402939081192,0.5421478748321533,0.9887966513633728,0.8816806077957153
0.03694258630275726,0.5443874597549438,0.9873677492141724,0.8804610967636108
0.03466835618019104,0.5456697940826416,0.9884992837905884,0.8817610740661621
0.0338311605155468,0.5462605953216553,0.9889070391654968,0.8819000720977783
0.0340869165956974,0.5488780736923218,0.9887997508049011,0.8818138837814331
0.03463095799088478,0.5484610199928284,0.988349437713623,0.8814888596534729
0.03384770452976227,0.5509665012359619,0.9888929128646851,0.8819777965545654
0.03412046656012535,0.551935076713562,0.9886488914489746,0.8812666535377502
0.033195242285728455,0.5529146790504456,0.9891247749328613,0.8817194700241089
0.03375012427568436,0.555669367313385,0.9888687133789062,0.8814972043037415
0.03275676816701889,0.5541314482688904,0.9894037246704102,0.8817472457885742
0.033853765577077866,0.5567411184310913,0.9887993931770325,0.8813138008117676
0.03185870125889778,0.5578213334083557,0.9898617267608643,0.8809166550636292
0.032507382333278656,0.558089554309845,0.9894697666168213,0.8811611533164978
0.03221430256962776,0.5601575970649719,0.9898174405097961,0.8812972903251648
0.03263832628726959,0.5613700747489929,0.98916095495224,0.8812555074691772
0.03150526061654091,0.5625032186508179,0.9899650812149048,0.8808721303939819
0.03257182613015175,0.5621554851531982,0.9893359541893005,0.881455659866333
0.03308570012450218,0.5648753046989441,0.9891578555107117,0.8815444111824036
0.03166051581501961,0.5630183219909668,0.9898011684417725,0.8816888928413391
0.030918844044208527,0.5633909106254578,0.9901589155197144,0.8810361623764038
0.03290940821170807,0.5644880533218384,0.9891921281814575,0.8809556365013123
0.03167744353413582,0.5682787895202637,0.9896992444992065,0.8812082409858704
0.030996916815638542,0.567219614982605,0.9901676177978516,0.8811084032058716
0.032058339565992355,0.5668454170227051,0.9896901249885559,0.8811582922935486
0.031594254076480865,0.5684335231781006,0.9897042512893677,0.881422221660614
0.03138376772403717,0.5681217312812805,0.9898871779441833,0.8815444111824036
0.030171969905495644,0.5705167651176453,0.9905053377151489,0.880816638469696
0.03071407601237297,0.5690511465072632,0.9901831150054932,0.8808361887931824
0.029769809916615486,0.5708684325218201,0.990827202796936,0.8805361390113831
0.031692828983068466,0.5718932151794434,0.9896456599235535,0.8807222247123718
0.029707757756114006,0.572904109954834,0.9908071756362915,0.8809027671813965
0.030459515750408173,0.5727274417877197,0.9903486967086792,0.8808722496032715
0.029354043304920197,0.5728999376296997,0.9910131692886353,0.8809083700180054
0.030118262395262718,0.5739315152168274,0.9905506372451782,0.8809444904327393
0.029522517696022987,0.5749956369400024,0.9909121990203857,0.8810694813728333
0.03007081151008606,0.5747503042221069,0.9904453158378601,0.8810471296310425
